Title,Additional Authors,ISBN,My Rating,Publisher,Binding,Year Published,Date Read,Date Added,Bookshelves,My Review,Author,Owned,Favorite,Wishlist,Plan To Read,Currently Reading,Read,ASIN,Shelfari Edition Id,Shelfari Book Id,Condition,Original Purchase Date,Purchase Price,Private Notes,Loaned,Loaned To,Loaned On,Loan Due,Shelfari Date Read,Is Private
Busting Vegas,"Mezrich, Ben",0060575123,3,,Paperback,2006,01010001,23122011,,,Ben Mezrich,False,False,False,False,False,True,0060575123,83742,71497,,01010001,0,,False,False,,01010001,01010001,,False
The Language Instinct,"Pinker, Steven",0060958332,0,,Paperback,2000,01010001,03122011,,,Steven Pinker,False,False,False,False,False,True,0060958332,85114,72623,,01010001,0,,False,False,,01010001,01010001,,False
Tales of the Dying Earth,"Vance, Jack",0312874561,0,,Paperback,2000,01010001,03122011,,,Jack Vance,False,False,False,False,False,True,0312874561,85350,72833,,01010001,0,,False,False,,01010001,01010001,,False
The Demon Princes,"Vance, Jack",0312853025,0,,Paperback,1997,01010001,03122011,,,Jack Vance,False,False,False,False,False,True,0312853025,85361,72843,,01010001,0,,False,False,,01010001,01010001,,False
The Blue World,"Vance, Jack",0575073489,0,,Paperback,2003,01010001,03122011,,,Jack Vance,False,False,False,False,False,True,0575073489,85376,72858,,01010001,0,,False,False,,01010001,01010001,,False
The Demon Princes,"Vance, Jack",0312853165,0,,Paperback,1997,01010001,03122011,,,Jack Vance,False,False,False,False,False,True,0312853165,85408,72883,,01010001,0,,False,False,,01010001,01010001,,False
A Fire Upon the Deep,"Vinge, Vernor",0812515285,0,,Mass Market Paperback,1993,01010001,03122011,,,Vernor Vinge,False,False,False,False,False,True,0812515285,85826,73222,,01010001,0,,False,False,,01010001,01010001,,False
A Deepness in the Sky,"Vinge, Vernor",0812536355,0,,Mass Market Paperback,2000,01010001,03122011,,,Vernor Vinge,False,False,False,False,False,True,0812536355,85904,73281,,01010001,0,,False,False,,01010001,01010001,,False
The Peace War,"Vinge, Vernor",0765308835,3,,Paperback,2003,02092012,03122011,"science fiction,dystopia,time travel,vernor vinge",,Vernor Vinge,False,False,False,False,False,True,0765308835,85912,73288,,01010001,0,,False,False,,01010001,01010001,9/2/2012,False
Ribofunk,"Filippo, Paul Di",1568580622,0,,Hardcover,1996,01010001,04122011,,,Paul Di Filippo,False,False,False,False,False,True,1568580622,85933,73305,,01010001,0,,False,False,,01010001,01010001,,False
Lucifer's Hammer,"Niven, Larry; Jerry Pournelle",0449208133,0,,Mass Market Paperback,1985,01010001,03122011,,,"Larry Niven, Jerry Pournelle",False,False,False,False,False,True,0449208133,86161,73498,,01010001,0,,False,False,,01010001,01010001,,False
The Magic of Thinking Big,"Schwartz, David J.",0671646788,0,,Paperback,1987,01010001,03122011,,,David J. Schwartz,True,False,False,False,False,True,0671646788,86202,73530,,01010001,0,,False,False,,01010001,01010001,,False
The Barbed-Wire Kiss,"Stroby, Wallace",0312995474,0,,Mass Market Paperback,2004,01010001,03122011,,,Wallace Stroby,False,False,False,False,False,True,0312995474,86401,73686,,01010001,0,,False,False,,01010001,01010001,,False
Calculus for Dummies,"Ryan, Mark",0764524984,0,,Paperback,2003,01010001,03122011,,,Mark Ryan,False,False,False,False,False,False,0764524984,89366,76146,,01010001,0,,False,False,,01010001,01010001,,False
"Rebel without a Crew: Or How a 23-Year-Old Filmmaker With $7,000 Became a Hollywood Player","Rodriguez, Robert",0452271878,0,,Paperback,1996,01010001,23122011,,,Robert Rodriguez,False,False,False,False,False,True,0452271878,90438,77039,,01010001,0,,False,False,,01010001,01010001,,False
Guilty Pleasures,"Hamilton, Laurell K.",0425197549,3,,Paperback,2004,01010001,04122011,,,Laurell K. Hamilton,False,False,False,False,False,True,0425197549,90537,77115,,01010001,0,,False,False,,01010001,01010001,,False
The Easy Way to Stop Smoking,"Carr, Allen",1402718616,3,,Hardcover,2005,02022012,17012012,"self-help,health,smoking,allen carr",,Allen Carr,False,False,False,False,False,True,1402718616,91628,12865292,,01010001,0,,False,False,,01010001,01010001,2/2/2012,False
Maximum Achievement,"Tracy, Brian",0684803313,0,,Paperback,1995,01010001,04122011,,,Brian Tracy,False,False,False,False,False,True,0684803313,91933,78266,,01010001,0,,False,False,,01010001,01010001,,False
Goals!,"Tracy, Brian",1576753077,0,,Paperback,2004,01010001,04122011,,,Brian Tracy,False,False,False,False,False,True,1576753077,92147,78458,,01010001,0,,False,False,,01010001,01010001,,False
Storming the Reality Studio,"McCaffery, Larry",0822311682,3,,Paperback,1991,01010001,04122011,,,,False,False,False,False,False,True,0822311682,92374,78655,,01010001,0,,False,False,,01010001,01010001,,False
Bloody Bones,"Hamilton, Laurell K.",0515134465,3,,Mass Market Paperback,2002,01010001,04122011,,,Laurell K. Hamilton,False,False,False,False,False,True,0515134465,93418,79539,,01010001,0,,False,False,,01010001,01010001,,False
Dragons of Winter Night,"Weis, Margaret; Tracy Hickman",0786930675,3,,Hardcover,2003,01062003,13052012,,,"Margaret Weis, Tracy Hickman",False,False,False,False,False,True,0786930675,93551,79646,,01010001,0,,False,False,,01010001,01010001,6/1/2003,False
The Lunatic Cafe,"Hamilton, Laurell K.",051513452X,3,,Mass Market Paperback,2002,01010001,04122011,,,Laurell K. Hamilton,False,False,False,False,False,True,051513452X,93565,79658,,01010001,0,,False,False,,01010001,01010001,,False
Narcissus in Chains,"Hamilton, Laurell K.",0515133876,3,,Mass Market Paperback,2002,01010001,04122011,,,Laurell K. Hamilton,False,False,False,False,False,True,0515133876,93583,79675,,01010001,0,,False,False,,01010001,01010001,,False
Cruel Shoes,"Martin, Steve",0517330806,0,,Hardcover,1982,01010001,04122011,,,Steve Martin,False,False,False,False,False,True,0517330806,93890,79936,,01010001,0,,False,False,,01010001,01010001,,False
First Strike,"Nylund, Eric S.",0345467817,3,,Mass Market Paperback,2003,01010001,23122011,,,Eric Nylund,False,False,False,False,False,True,0345467817,94436,80376,,01010001,0,,False,False,,01010001,01010001,,False
Everything Bad Is Good for You,"Johnson, Steven",1594481946,0,,Paperback,2006,01010001,03122011,,,Steven Johnson,False,False,False,False,False,True,1594481946,94817,80702,,01010001,0,,False,False,,01010001,01010001,,False
The Age of Spiritual Machines,"Kurzweil, Ray",0140282025,0,,Paperback,2000,01010001,03122011,,,Ray Kurzweil,False,False,False,False,False,True,0140282025,94994,80848,,01010001,0,,False,False,,01010001,01010001,,False
The Laughing Corpse,"Hamilton, Laurell K.",0515134449,3,,Mass Market Paperback,2002,01010001,04122011,,,Laurell K. Hamilton,False,False,False,False,False,True,0515134449,96570,79882,,01010001,0,,False,False,,01010001,01010001,,False
Circus of the Damned,"Hamilton, Laurell K.",0515134481,3,,Mass Market Paperback,2002,01010001,04122011,,,Laurell K. Hamilton,False,False,False,False,False,True,0515134481,96593,79766,,01010001,0,,False,False,,01010001,01010001,,False
Smart Couples Finish Rich: 9 Steps to Creating a Rich Future for You and Your Partner,"Bach, David",0767904842,0,,Paperback,2002,01010001,04122011,,,David Bach,False,False,False,False,False,True,0767904842,96633,82145,,01010001,0,,False,False,,01010001,01010001,,False
Obsidian Butterfly,"Hamilton, Laurell K.",0515134503,3,,Mass Market Paperback,2002,01010001,04122011,,,Laurell K. Hamilton,False,False,False,False,False,True,0515134503,96823,79697,,01010001,0,,False,False,,01010001,01010001,,False
Overclocked,"Doctorow, Cory",1560259817,0,,Paperback,2007,01010001,04122011,,,Cory Doctorow,False,False,False,True,False,False,1560259817,97597,82910,,01010001,0,,False,False,,01010001,01010001,,False
New Rules of Lifting,"Cosgrove, Alwyn; Lou Schuler",1583332383,0,,Hardcover,2005,01010001,04122011,,,"Lou Schuler, Alwyn  Cosgrove",False,False,False,False,False,True,1583332383,98283,83447,,01010001,0,,False,False,,01010001,01010001,,False
The Know-It-All,"Jacobs, A. J.",0743250621,3,,Paperback,2005,30062013,01072013,"non-fiction,nonfiction,humor,memoir,autobiography,a j jacobs,books about books,encyclopedia",,A. J. Jacobs,False,False,False,False,False,True,0743250621,99275,84276,,01010001,0,,False,False,,01010001,01010001,6/30/2013,False
Weapons of Choice,"Birmingham, John",0345457137,0,,Mass Market Paperback,2005,01010001,04122011,,,John Birmingham,False,False,False,False,False,True,0345457137,99418,84394,,01010001,0,,False,False,,01010001,01010001,,False
Time Management for System Administrators,"Limoncelli, Tom",0596007833,0,,Paperback,2005,16042014,03122011,"nonfiction,time management,sysadmin,systems administration",,Thomas A. Limoncelli,True,False,False,False,False,True,0596007833,104150,88197,,01010001,0,,False,False,,01010001,01010001,4/16/2014,False
Dragons of Autumn Twilight,"Weis, Margaret; Tracy Hickman",0786915749,3,,Mass Market Paperback,2000,01062003,13052012,,,"Margaret Weis, Tracy Hickman",False,False,False,False,False,True,0786915749,104487,60100,,01010001,0,,False,False,,01010001,01010001,6/1/2003,False
Dragons of Summer Flame,"Weis, Margaret; Tracy Hickman",0786927089,0,,Mass Market Paperback,2002,01010001,06052012,,,"Margaret Weis, Tracy Hickman",False,False,False,False,False,True,0786927089,104653,88631,,01010001,0,,False,False,,01010001,01010001,,False
The Time Trap,"Mackenzie, R. Alec",081447926X,2,,Paperback,1997,17092012,05092012,"management,time management",,Alec Mackenzie,False,False,False,False,False,True,081447926X,104679,88649,,01010001,0,,False,False,,01010001,01010001,9/17/2012,False
Hybrids,"Sawyer, Robert J.",076534906X,3,,Mass Market Paperback,2004,01010001,06052012,,,Robert J. Sawyer,False,False,False,False,False,True,076534906X,104920,70121,,01010001,0,,False,False,,01010001,01010001,,False
Hannibal,"Harris, Thomas",038529929X,3,,Hardcover,1999,01010001,17122011,,,Thomas Harris,False,False,False,False,False,True,038529929X,105602,89403,,01010001,0,,False,False,,01010001,01010001,,False
The Postman,"Brin, David",0553278746,0,,Mass Market Paperback,1997,01010001,04122011,,,David Brin,False,False,False,False,False,True,0553278746,105629,89428,,01010001,0,,False,False,,01010001,01010001,,False
The Amber Spyglass,"Pullman, Philip",0440418569,0,,Paperback,2003,01010001,04122011,,,Philip Pullman,False,False,False,False,False,True,0440418569,105968,47913,,01010001,0,,False,False,,01010001,01010001,,False
Holy Fire,"Sterling, Bruce",055357549X,0,,Paperback,1997,01010001,04122011,,,Bruce Sterling,False,False,False,False,False,True,055357549X,106879,64303,,01010001,0,,False,False,,01010001,01010001,,False
Use Your Perfect Memory: Dramatic New Techniques for Improving Your Memory; Third Edition,"Buzan, Tony",0452266068,3,,Paperback,1991,01062012,28052012,"self improvement,mnemonics,memory,mind",,Tony Buzan,False,False,False,False,False,True,0452266068,107632,91031,,01010001,0,,False,False,,01010001,01010001,6/1/2012,False
The Android's Dream,"Scalzi, John",0765309416,0,,Hardcover,2006,01010001,03122011,,,John Scalzi,False,False,False,False,False,True,0765309416,107934,91271,,01010001,0,,False,False,,01010001,01010001,,False
The Traveler's Gift,"Andrews, Andy",0785273220,3,,Paperback,2005,21012015,21012015,"personal development,self-improvement,inspirational,christian living/practical life/psychology,andy andrews",,Andy Andrews,False,False,False,False,False,True,0785273220,108377,91653,,01010001,0,,False,False,,01010001,01010001,1/21/2015,False
Zen in the Art of Archery,"Herrigel, Eugen",0375705090,0,,Paperback,1999,01010001,04122011,,,Eugen Herrigel,False,False,False,False,False,True,0375705090,111061,93918,,01010001,0,,False,False,,01010001,01010001,,False
Evasion,"Collective, CrimethInc. Ex-Workers'",0970910118,0,,Paperback,2002,01010001,06052012,,,Crimethinc.,False,False,False,False,False,True,0970910118,114542,96871,,01010001,0,,False,False,,01010001,01010001,,False
The Complete Book of Abs: Revised and Expanded Edition,"Brungardt, Kurt; Doug Stumpf",0375751432,0,,Paperback,1998,01010001,04122011,,,Kurt Brungardt,False,False,False,False,False,True,0375751432,118131,99919,,01010001,0,,False,False,,01010001,01010001,,False
Lemons Never Lie,"Stark, Richard",0843955945,5,,Mass Market Paperback,2006,04072014,01072014,"fiction,crime,heist,stark,grofield,hard case crime",,Richard Stark (Donald E. Westlake),False,False,False,False,False,True,0843955945,120393,101906,,01010001,0,,False,False,,01010001,01010001,7/4/2014,False
Antony and Cleopatra,"Shakespeare, William",0743482859,0,,Mass Market Paperback,2005,01010001,06052012,,,William Shakespeare,False,False,False,False,False,False,0743482859,120839,11075157,,01010001,0,,False,False,,01010001,01010001,,False
The Creative Habit,"Tharp, Twyla",0743235274,0,,Paperback,2006,01010001,04122011,,,Twyla Tharp,False,False,False,False,False,True,0743235274,121172,102581,,01010001,0,,False,False,,01010001,01010001,,False
Think and Grow Rich,"Hill, Napoleon",0449214923,0,,Mass Market Paperback,1983,01010001,04122011,,,Napoleon Hill,False,False,False,False,False,True,0449214923,121440,17790,,01010001,0,,False,False,,01010001,01010001,,False
Split Images,"Leonard, Elmore",0060089547,0,,Mass Market Paperback,2002,01010001,04122011,,,Elmore Leonard,False,False,False,False,False,True,0060089547,123740,104748,,01010001,0,,False,False,,01010001,01010001,,False
The Hot Kid,"Leonard, Elmore",0060724234,0,,Mass Market Paperback,2006,01010001,04122011,,,Elmore Leonard,False,False,False,False,False,True,0060724234,123742,104750,,01010001,0,,False,False,,01010001,01010001,,False
Valdez is Coming,"Leonard, Elmore",0380822237,0,,Mass Market Paperback,2002,01010001,04122011,,,Elmore Leonard,False,False,False,False,False,True,0380822237,123748,104755,,01010001,0,,False,False,,01010001,01010001,,False
The Hunted,"Leonard, Elmore",0060084065,0,,Mass Market Paperback,2003,01010001,04122011,,,Elmore Leonard,False,False,False,False,False,False,0060084065,123750,104757,,01010001,0,,False,False,,01010001,01010001,,False
Freaky Deaky,"Leonard, Elmore",0060089555,0,,Mass Market Paperback,2002,01010001,04122011,,,Elmore Leonard,False,False,False,False,False,True,0060089555,123755,104762,,01010001,0,,False,False,,01010001,01010001,,False
Glitz,"Leonard, Elmore",0060089539,0,,Mass Market Paperback,2002,01010001,04122011,,,Elmore Leonard,False,False,False,False,False,True,0060089539,123771,104778,,01010001,0,,False,False,,01010001,01010001,,False
Pronto,"Leonard, Elmore",0060082178,0,,Mass Market Paperback,2002,01010001,04122011,,,Elmore Leonard,False,False,False,False,False,True,0060082178,123776,104783,,01010001,0,,False,False,,01010001,01010001,,False
52 Pickup,"Leonard, Elmore",0060083999,0,,Mass Market Paperback,2002,01010001,04122011,,,Elmore Leonard,False,False,False,False,False,True,0060083999,123779,104786,,01010001,0,,False,False,,01010001,01010001,,False
Cat Chaser,"Leonard, Elmore",0060512229,0,,Mass Market Paperback,2003,01010001,04122011,,,Elmore Leonard,False,False,False,False,False,True,0060512229,123782,104789,,01010001,0,,False,False,,01010001,01010001,,False
Mr. Majestyk,"Leonard, Elmore",006008409X,0,,Mass Market Paperback,2002,01010001,04122011,,,Elmore Leonard,False,False,False,False,False,True,006008409X,123785,104792,,01010001,0,,False,False,,01010001,01010001,,False
The Curse of Chalion,"Bujold, Lois McMaster",0061134244,0,,Paperback,2006,01010001,04122011,,,Lois McMaster Bujold,False,False,False,False,False,True,0061134244,130170,109969,,01010001,0,,False,False,,01010001,01010001,,False
"Cry, the Beloved Country","Paton, Alan",0743262174,0,,Paperback,2003,01010001,03122011,,,Alan Paton,False,False,False,False,False,True,0743262174,130286,31684,,01010001,0,,False,False,,01010001,01010001,,False
Paladin of Souls,"Bujold, Lois McMaster",0380818612,0,,Mass Market Paperback,2005,01010001,04122011,,,Lois McMaster Bujold,False,False,False,False,False,True,0380818612,130328,110095,,01010001,0,,False,False,,01010001,01010001,,False
"Sly Moves : My Proven Program to Lose Weight, Build Strength, Gain Will Power, and Live your Dream","Hochman, David; Sylvester Stallone",0060737875,0,,Hardcover,2005,01010001,04122011,,,Sylvester Stallone,False,False,False,False,False,True,B000EGEYR0,136892,115482,,01010001,0,,False,False,,01010001,01010001,,False
The Education of a Coach,"Halberstam, David",1401308791,0,,Paperback,2006,10052013,26042013,"football,sports,biography,bill belichick,pro football,david halberstam,2005",,David Halberstam,False,False,False,False,False,True,1401308791,137089,115643,,01010001,0,,False,False,,01010001,01010001,5/10/2013,False
Shadows Linger,"Cook, Glen",0812508424,0,,Mass Market Paperback,1990,01010001,03122011,,,Glen Cook,False,False,False,False,False,True,0812508424,140474,118542,,01010001,0,,False,False,,01010001,01010001,,False
The White Rose,"Cook, Glen",0812508440,0,,Mass Market Paperback,1990,01010001,03122011,,,Glen Cook,False,False,False,False,False,True,0812508440,140482,118547,,01010001,0,,False,False,,01010001,01010001,,False
The Black Company,"Cook, Glen",0812521390,0,,Mass Market Paperback,1992,01010001,03122011,,,Glen Cook,False,False,False,False,False,True,0812521390,140491,118556,,01010001,0,,False,False,,01010001,01010001,,False
"The Inner Game of Work: Focus, Learning, Pleasure, and Mobility in the Workplace",,0375758178,0,,Paperback,2001,01010001,04122011,,,W. Timothy Gallwey,False,False,False,False,False,True,0375758178,142811,9032872,,01010001,0,,False,False,,01010001,01010001,,False
The Sun Also Rises,"Hemingway, Ernest",0743297334,0,,Paperback,2006,01010001,03122011,,,Ernest Hemingway,False,False,False,False,False,True,0743297334,146921,16325,,01010001,0,,False,False,,01010001,01010001,,False
Gold Coast,"Leonard, Elmore",0060084057,3,,Mass Market Paperback,2002,01010001,04122011,,,Elmore Leonard,False,False,False,False,False,True,0060084057,148610,125357,,01010001,0,,False,False,,01010001,01010001,,False
The Big Bounce,"Leonard, Elmore",0060084022,0,,Mass Market Paperback,2003,01010001,04122011,,,Elmore Leonard,False,False,False,False,False,True,0060084022,148612,125359,,01010001,0,,False,False,,01010001,01010001,,False
Out of Sight,"Leonard, Elmore",0060084103,0,,Mass Market Paperback,2002,01010001,04122011,,,Elmore Leonard,False,True,False,False,False,True,0060084103,148614,125361,,01010001,0,,False,False,,01010001,01010001,,False
City Primeval,"Leonard, Elmore",006008958X,0,,Mass Market Paperback,2002,01010001,04122011,,,Elmore Leonard,False,False,False,False,False,True,006008958X,148619,125365,,01010001,0,,False,False,,01010001,01010001,,False
Tishomingo Blues,"Leonard, Elmore",0060083948,4,,Mass Market Paperback,2002,01010001,04122011,,,Elmore Leonard,False,False,False,False,False,True,0060083948,148637,125380,,01010001,0,,False,False,,01010001,01010001,,False
Touch,"Leonard, Elmore",0060089598,0,,Mass Market Paperback,2002,01010001,04122011,,,Elmore Leonard,False,False,False,False,False,True,0060089598,148640,125383,,01010001,0,,False,False,,01010001,01010001,,False
The Switch,"Leonard, Elmore",0060082208,0,,Mass Market Paperback,2002,01010001,04122011,,,Elmore Leonard,False,False,False,False,False,True,0060082208,148685,9032815,,01010001,0,,False,False,,01010001,01010001,,False
Mr. Paradise,"Leonard, Elmore",0060083964,0,,Mass Market Paperback,2005,01010001,04122011,,,Elmore Leonard,False,False,False,False,False,True,0060083964,148692,125421,,01010001,0,,False,False,,01010001,01010001,,False
Elmore Leonard's Western Roundup #3: Valdez is Coming & Hombre,"Leonard, Elmore",0385333242,3,,Paperback,1998,01010001,04122011,,,Elmore Leonard,False,False,False,False,False,True,0385333242,148698,125427,,01010001,0,,False,False,,01010001,01010001,,False
Bridge of Birds,"Hughart, Barry",0345321383,0,,Mass Market Paperback,1985,01010001,04122011,,,Barry Hughart,False,False,False,False,False,True,0345321383,149526,126104,,01010001,0,,False,False,,01010001,01010001,,False
Eight Skilled Gentlemen,"Hughart, Barry",0385417101,0,,Paperback,1991,01010001,04122011,,,Barry Hughart,False,False,False,False,False,True,0385417101,149559,126131,,01010001,0,,False,False,,01010001,01010001,,False
American Gods,"Gaiman, Neil",0380789035,0,,Mass Market Paperback,2002,09082015,10082015,"america,neil gaiman,mythology,gaiman,dark fantasy",,Neil Gaiman,False,False,False,False,False,True,0380789035,150988,25615,,01010001,0,,False,False,,01010001,01010001,8/9/2015,False
Make Love the Bruce Campbell Way,"Campbell, Bruce",031231261X,3,,Paperback,2006,01010001,04122011,,,Bruce Campbell,False,False,False,False,False,True,031231261X,151664,35612,,01010001,0,,False,False,,01010001,01010001,,False
Problem Solving with C++ (6th Edition),"Savitch, Walter J.",0321268652,0,,Paperback,2004,01010001,03122011,,,Walter Savitch,True,False,False,False,False,True,0321268652,153861,35003,,01010001,0,,False,False,,01010001,01010001,,False
God Save the Mark,"Westlake, Donald E.",076530919X,0,,Paperback,2004,01010001,03122011,,,Donald E. Westlake,False,False,False,False,False,True,076530919X,155260,130710,,01010001,0,,False,False,,01010001,01010001,,False
It Was On Fire When I Lay Down On It,"Fulghum, Robert",0804105820,0,,Mass Market Paperback,1991,01010001,23012012,,,Robert Fulghum,False,False,False,False,False,True,0804105820,155616,131001,,01010001,0,,False,False,,01010001,01010001,,False
True Love,"Fulghum, Robert",0061096164,0,,Mass Market Paperback,1998,01010001,23012012,,,Robert Fulghum,False,False,False,False,False,True,0061096164,155639,131021,,01010001,0,,False,False,,01010001,01010001,,False
Maybe (Maybe Not),"Fulghum, Robert",0804111154,0,,Mass Market Paperback,1995,01010001,23012012,,,Robert Fulghum,False,False,False,False,False,True,0804111154,155642,131024,,01010001,0,,False,False,,01010001,01010001,,False
The Sociopath Next Door,"Stout, Martha",0767915828,3,,Paperback,2006,11092014,11092014,"non-fiction,psychology,sociopaths,sociopathy,mental illness",,Martha Stout,False,False,False,False,False,True,0767915828,156255,123555,,01010001,0,,False,False,,01010001,01010001,9/11/2014,False
"The Letter, the Witch, and the Ring","Bellairs, John",0142402613,4,,Paperback,2004,01010001,06052012,,,John Bellairs,False,False,False,False,False,True,0142402613,164435,138240,,01010001,0,,False,False,,01010001,01010001,,False
The Curse of the Blue Figurine,"Bellairs, John",0142402583,0,,Paperback,2004,01010001,06052012,,,John Bellairs,False,False,False,False,False,True,0142402583,164499,138299,,01010001,0,,False,False,,01010001,01010001,,False
The Figure In the Shadows,"Bellairs, John",0142402605,0,,Paperback,2004,01010001,06052012,,,John Bellairs,False,False,False,False,False,False,0142402605,164576,138363,,01010001,0,,False,False,,01010001,01010001,,False
"Patriot Reign: Bill Belichick, the Coaches, and the Players Who Built a Champion","Holley, Michael",0060757957,3,,Paperback,2005,25022013,21022013,"football,nfl,sports,bill belichick,coaching,underdog story,super bowl,patriots,new england",,Michael Holley,False,False,False,False,False,True,0060757957,165686,139296,,01010001,0,,False,False,,01010001,01010001,2/25/2013,False
The Way Things Work,"MacAulay, David",0395428572,0,,Hardcover,1988,01010001,23122011,,,David Macaulay,False,False,False,False,False,True,0395428572,173371,386656,,01010001,0,,False,False,,01010001,01010001,,False
Uh-Oh,"Fulghum, Robert; David Caldwell",0804111898,0,,Mass Market Paperback,1993,01010001,23012012,,,Robert Fulghum,False,False,False,False,False,True,0804111898,174162,131040,,01010001,0,,False,False,,01010001,01010001,,False
The Green Mile,"King, Stephen",0671041789,0,,Mass Market Paperback,1999,01010001,04122011,,,Stephen King,False,False,False,False,False,True,0671041789,181428,38331,,01010001,0,,False,False,,01010001,01010001,,False
Gerald's Game,"King, Stephen",0451176464,0,,Mass Market Paperback,1993,01010001,04122011,,,Stephen King,False,False,False,False,False,True,0451176464,181497,38337,,01010001,0,,False,False,,01010001,01010001,,False
All I Really Need to Know I Learned in Kindergarten,"Fulghum, Robert",034546639X,0,,Paperback,2004,01010001,23012012,,,Robert Fulghum,False,False,False,False,False,True,034546639X,181683,131029,,01010001,0,,False,False,,01010001,01010001,,False
Planet of the Apes,"Boulle, Pierre",0345447980,3,,Mass Market Paperback,2001,19022013,17022013,"science fiction,fantasy,dystopia,time travel,alternate world,planet of the apes,pierre boulle,apes,french literature",,Pierre Boulle,False,False,False,False,False,True,0345447980,186031,155927,,01010001,0,,False,False,,01010001,01010001,2/19/2013,False
Underground Body Opus: Militant Weight Loss & Recomposition,"Duchaine, Daniel",0965310701,3,,Paperback,1996,11102013,14092013,"weight training,bodybuilding,low carb,diet,drugs,ketogenic,isocaloric,cyclical ketogenic,suplementation,bodycomposition,radical",,Daniel Duchaine,False,False,False,False,False,True,0965310701,190168,159249,,01010001,0,,False,False,,01010001,01010001,10/11/2013,False
Riding the Rap,"Leonard, Elmore",0060082186,0,,Mass Market Paperback,2002,01010001,04122011,,,Elmore Leonard,False,False,False,False,False,True,0060082186,190650,159627,,01010001,0,,False,False,,01010001,01010001,,False
The Dragon Never Sleeps,"Cook, Glen",0445203498,4,,Mass Market Paperback,1988,04042012,03122011,"science fiction,glen cook",,Glen Cook,False,False,False,False,False,True,0445203498,197617,165536,,01010001,0,,False,False,,01010001,01010001,4/4/2012,False
Stretching Scientifically: A Guide to Flexibility Training (4th Revision ed),"Kurz, Thomas",0940149451,3,,Paperback,2003,01010001,04122011,,,Thomas Kurz,False,False,False,False,False,True,0940149451,197747,165644,,01010001,0,,False,False,,01010001,01010001,,False
Meetings with the Archangel: A Comedy of the Spirit,"Mitchell, Stephen",0060932481,0,,Paperback,1999,01010001,06052012,,,Stephen Mitchell,False,False,False,False,False,True,0060932481,203070,169991,,01010001,0,,False,False,,01010001,01010001,,False
The Subtle Knife,"Pullman, Philip",0440238145,0,,Mass Market Paperback,2003,01010001,04122011,,,Philip Pullman,False,False,False,False,False,True,0440238145,217900,40405,,01010001,0,,False,False,,01010001,01010001,,False
Killshot,"Leonard, Elmore",0060512245,0,,Mass Market Paperback,2003,01010001,04122011,,,Elmore Leonard,False,False,False,False,False,True,0060512245,219444,104797,,01010001,0,,False,False,,01010001,01010001,,False
Bandits,"Leonard, Elmore",0060512202,0,,Mass Market Paperback,2003,01010001,04122011,,,Elmore Leonard,False,False,False,False,False,True,0060512202,219455,183335,,01010001,0,,False,False,,01010001,01010001,,False
Pagan Babies,"Leonard, Elmore",0060008776,3,,Mass Market Paperback,2002,01010001,04122011,,,Elmore Leonard,False,False,False,False,False,True,0060008776,219465,183340,,01010001,0,,False,False,,01010001,01010001,,False
Three-Ten to Yuma and Other Stories,"Leonard, Elmore",0061121649,0,,Mass Market Paperback,2006,01010001,04122011,,,Elmore Leonard,False,False,False,False,False,True,0061121649,219548,183396,,01010001,0,,False,False,,01010001,01010001,,False
The Mummy,"Rice, Anne",0394579453,0,,Audio Cassette,1989,01010001,04122011,,,Anne Rice,False,False,False,False,False,True,0394579453,222064,85204,,01010001,0,,False,False,,01010001,01010001,,False
Crooked Little Vein,"Ellis, Warren",0060723939,3,,Hardcover,2007,12032013,12032013,"detective,contemporary fiction,drugs,america,underground culture,ellis,warren ellis,fetish,las vegas,sex,political satire",,Warren Ellis,False,False,False,False,False,True,0060723939,223839,14953466,,01010001,0,,False,False,,01010001,01010001,3/12/2013,False
"Henry IV, Part I","Shakespeare, William",0743485041,0,,Mass Market Paperback,2005,01010001,06052012,,,William Shakespeare,False,False,False,False,False,True,0743485041,223911,10687,,01010001,0,,False,False,,01010001,01010001,,False
Do It Tomorrow and Other Secrets of Time Management,"Forster, Mark",0340909129,5,,Paperback,2008,15052012,03122011,,,Mark Forster,True,False,False,False,False,True,0340909129,226381,188711,,01010001,0,,False,False,,01010001,01010001,5/15/2012,False
The Men's Health Home Workout Bible: A Do-It-Yourself Guide to Burning Fat and Building Muscle,"Mejia, Michael; Lou Schuler",1579546579,0,,Paperback,2002,01010001,04122011,,,"Lou Schuler, Michael Mejia",False,False,False,False,False,True,1579546579,226404,5537885,,01010001,0,,False,False,,01010001,01010001,,False
The Relaxation Response,"Klipper, Miriam Z.; Herbert Benson",0380815958,4,,Paperback,2000,14082015,14082015,"psychology,health,meditation,relaxation",,"Herbert Benson, Miriam Z. Klipper",False,False,False,False,False,True,0380815958,233520,194499,,01010001,0,,False,False,,01010001,01010001,8/14/2015,False
Four-Dimensionalism: An Ontology of Persistence and Time  (Mind Association Occasional Series),"Sider, Theodore",0199263523,0,,Paperback,2003,01010001,06052012,,,Theodore Sider,False,False,False,False,False,True,0199263523,235260,195934,,01010001,0,,False,False,,01010001,01010001,,False
Be Cool,"Leonard, Elmore",,3,,Paperback,2005,01010001,04122011,,,Elmore Leonard,False,False,False,False,False,True,B000BPUPYA,236043,196609,,01010001,0,,False,False,,01010001,01010001,,False
